"primary","house","street","city","state","zipcode","block","lot","parcel","locationType","notes"
"False","3020","Bell Grove Dr.","Tallahassee","FL","32308","","","","",""
"True","5001","Riverwood Rd","Tallahassee","FL","32303","","","","",""
"True","9145","Conestoga Ave","Tallahassee","FL","32309","","","","",""
"True","2312","Haverhill Rd.","Tallahassee","FL","32312","","","","",""
"True","8018","Susan Bradford Ln.","Tallahassee","FL","32309","","","","",""
"True","4291","Camden Rd.","Tallahassee","FL","32303","","","","",""
"True","1552","Bur Oak Drive","Tallahassee","FL","32305","","","","",""
"True","510","Frank Shaw Rd.","Tallahassee","FL","32312","","","","",""
"True","4398","Woodbridge Rd,","Tallahassee","FL","23203","","","","",""
"True","2888","Spring Creek Highway","Crawfordville","FL","32327","","","","",""
"True","9279","White Blossom Way","Tallahassee","FL","32317","","","","",""
"True","6161","Williams Rd.","Tallahassee","FL","32311","","","","",""
"True","4426","Rabbit Pond Rd","Tallahassee","FL","32308","","","","",""
"False","3168","Lookout Trail","Tallahassee","FL","32309","","","","",""
"False","","Crestwood Dr.","Tallahassee","FL","32311","","","","",""
"False","1804","Skyland Dr","Tallahassee","FL","32303","","","","",""
"True","316","Rozena Loop,","Tallahassee","FL","32343","","","","",""
"True","2332","Haverhill Road","Tallahassee","FL","32312","","","","","09-0217R,ATU MAINTENANCE"
"True","3551","South Blair Stone Rd.","Tallahassee","FL","32301","","","","",""
"False","2417","Millcreek Ct., #2","Tallahassee","FL","32308","","","","",""
"False","3377","Mariana Oaks Dr","Tallahassee","FL","32311","","","","",""
"True","2732","Capital Circle, NE","Tallahassee","FL","32308","","","","",""
"False","6547","Hugh Rd.","Tallahassee","FL","32309","","","","",""
"True","10519","Blue Wing Court","Tallahassee","FL","32312","","","","",""
"True","4906","High Grove Road","Tallahassee","FL","32309","","","","",""
"True","202","White Oak Dr.","Crawfordville","FL","32327","","","","",""
"False","3289","Bannerman Rd.","Tallahassee","FL","32312","","","","",""
"True","1423","LLoyds Cove Rd.","Tallahassee","FL","32312","","","","",""
"True","7666","McClure Dr","Tallahassee","FL","32312","","","","",""
"True","5347","Widefield Dr.","Tallahassee","FL","32309","","","","",""
"True","5055","Sundance Lane","Tallahassee","FL","32309","","","","",""
"True","2001","Morning Dove Rd.","Tallahassee","FL","32310","","","","",""
"False","7005","Azusa Rd","Tallahassee","FL","32317","","","","",""
"True","6809","Walden Cir.","Tallahassee","FL","32317","","","","",""
"True","4925","Annette Dr.","Tallahassee","FL","32303","","","","",""
"True","1579","Cliffordhill Rd.","Tallahassee","FL","32308","","","","",""
"True","","","","FL","","","","","",""
"True","5075","Easy Street","Tallahassee","FL","32303","","","","",""
"True","5810","North Monroe Street","Tallahassee","FL","32303","","","","","REALTOR"
"True","12850","Cos Bluff","Tallahassee","FL","32310","","","","",""
"True","2013","Kingsbridge Ct.","Tallahassee","FL","32311","","","","",""
"True","4499","Argyle Ln.","Tallahassee","FL","32309","","","","",""
"False","1928","Chimney Swift Hallow","Tallahassee","FL","32312","","","","",""
"True","9681","South Horseshoe Rd.","Tallahassee","FL","32317","","","","",""
"True","677","Forest Lair","Tallahassee","FL","32312","","","","",""
"True","8370","Glendalin Rd","Tallahassee","FL","32311","","","","",""
"True","8127","Tally Ann Drive","Tallahassee","FL","32311","","","","",""
"True","2222","Springview Trl","Tallahassee","FL","32305","","","","",""
"True","9601","Waters Meet Dr.","Tallahassee","FL","32312","","","","",""
"True","1520","Killearn Center Blvd","Tallahassee","FL","32309","","","","","REALTOR"
"True","425","Kittrell Rd.","Quincy","FL","32351","","","","",""
"True","7420","Hickock Ct.","Tallahassee","FL","32311","","","","",""
"True","206","Country Club Dr.","Havana","FL","32333","","","","",""
"False","170","Getty Rd","Tallahassee","FL","32304","","","","",""
"True","112","River Plantation Rd","Crawfordville","FL","32327","","","","",""
"True","3027","Hawks Landing Dr.","Tallahassee","FL","32309","","","","",""
"True","4736","Pimlico Dr.","Tallahassee","FL","32309","","","","",""
"False","9031","Foxwood Dr. N","Tallahassee","FL","32309","","","","",""
"False","2308","Orleans Dr","Tallahassee","FL","32308","","","","",""
"True","5617","WESTVIEW LN","Tallahassee","FL","32310","","","","",""
"False","805","N Gadsden St.","Tallahassee","FL","32303","","","","",""
"True","24486","Lanier St","Tallahassee","FL","32310","","","","",""
"False","","PO Box 912","Apalachicola","FL","32329-0912","","","","",""
"True","4760","Sweetwater Ln","Tallahassee","FL","32311","","","","",""
"True","2708","Dubussy Ct.","Tallahassee","FL","32308","","","","",""
"True","1626","-D-Hwy","Crawfordville","FL","32327","","","","","REALTOR"
"True","26","Park Terrace Dr.","St. Augustine","FL","32080","","","","",""
"True","1570","Twin Lakes Cir.","Tallahassee","FL","32311","","","","",""
"True","3820","Cottingham Dr.","Tallahassee","FL","32303","","","","",""
"True","1821","Tallavana Trail","Havana","FL","32333","","","","",""
"True","13","Satinwood Dr. 32327","Crawfordville","FL","32327","","","","",""
"True","","P.O. Box 180324","Tallahassee","FL","32318","","","","",""
"False","11","Quail Hallow ct.","Midway","FL","32343","","","","",""
"True","401","Cloverdale","Tallahassee","FL","32312","","","","",""
"True","2311","Cumberland Drive","Tallahassee","FL","32303","","","","",""
"True","1062","Spring Creek Hwy","Crawfordville","FL","32327","","","","",""
"False","2025","Stork Road","Tallahassee","FL","32305","","","","",""
"True","11001","Luna Point Rd.","Tallahassee","FL","32312","","","","",""
"True","343","Old Dirt Rd.","Tallahassee","FL","32317","","","","",""
"True","3524","Oakhill Trl.","Tallahassee","FL","32309","","","","",""
"True","2795","Pine Ridge Rd.","Tallahassee","FL","32309","","","","",""
"True","1716","Evening Breeze Ln","Tallahassee","FL","32312","","","","",""
"False","3712","Matt Wing Rd","Tallahassee","FL","32311","","","","",""
"True","435","Nautilus Dr.","Monticello","FL","32344","","","","",""
"True","319","McLendon Ln","Quincy","FL","32351","","","","",""
"True","199","Mt. Zion Rd.","Crawfordville","FL","32327","","","","",""
"False","820","E. Park Ave. Bldg. A","Tallahassee","FL","32301","","","","",""
"False","3447","Valley Creek","Tallahassee","FL","32312","","","","",""
"False","522","E. Jefferson St","Tallahassee","FL","32301","","","","",""
"False","820","Building A East Park Ave.","Tallahassee","FL","32301","","","","",""
"True","2656","Onyx Trl","Tallahassee","FL","32303","","","","",""
"True","14243","Turkey Creek Dr.","Tallahassee","FL","32312","","","","",""
"True","4412","Woodbridge Rd.","Tallahassee","FL","32303","","","","",""
"True","56","Mayfair Dr","Crawfordville","FL","32327","","","","",""
"True","52","Three Sisters","Crawfordville","FL","32327","","","","",""
"False","3105","Coastal Highway","Crawfordville","FL","32327","","","","",""
"False","1322","Avondale Way","Tallahassee","FL","32317","","","","",""
"False","8338","Hunters Ridge Trl.","Tallahassee","FL","32312","","","","",""
"True","2601","Lucerne Dr.","Tallahassee","FL","32303","","","","",""
"True","1118","Bethel Church Rd.","Tallahasse","FL","32304","","","","",""
"True","1132","Green Hills Trce.","Tallahassee","FL","32317","","","","",""
"True","3074","Bell Grove Dr.","Tallahassee","FL","32308","","","","",""
"True","4991","Glen Castle Drive","Tallahassee","FL","32309","","","","",""
"True","3120","Elwood Trl.","Tallahassee","FL","32309","","","","",""
"True","2353","Tour Eiffel Dr.","Tallahassee","FL","32308","","","","",""
"True","8425","Pine Cone Rd","Tallahassee","FL","32311","","","","",""
"False","3412","Native Dancer Trl","Tallahassee","FL","32309","","","","",""
"True","3160","Lookout Trl","Tallahassee","FL","32309","","","","",""
"True","62","Andrew J Hargrett SR. Rd","Crawfordville","FL","32327","","","","",""
"False","1617","Paula Dr","Tallahassee","FL","32303","","","","",""
"True","4075","Buck Lake Rd.","Tallahassee","FL","32317","","","","",""
"False","3260","North Shannon Lakes","Tallahassee","FL","32309","","","","",""
"True","7059","Blueberry Hill Dr.","Tallahassee","FL","32303","","","","",""
"True","745","Middlewood Dr.","Tallahassee","FL","32312","","","","",""
"True","549","Frank Shaw Road","Tallahassee","FL","32312","","","","",""
"False","309","Howell St","Eastpoint","FL","32328","","","","",""
"True","8748","Opal Dr.","Tallahassee","FL","32309","","","","",""
"True","1430","Blockford Ct W","Tallahassee","FL","32317","","","","",""
"True","2312","Cleburn Ln","Tallahassee","FL","32309","","","","",""
"True","107","Lantern Lane","Havana","FL","32333","","","","",""
"True","7563","Mill Pond Loop","Tallahassee","FL","32317","","","","",""
"True","3971","Camino Real","Tallahassee","FL","32311","","","","",""
"True","6724","Johnstown Loop","Tallahassee","FL","32309","","","","",""
"True","4150","Deer Lane Dr","Tallahassee","FL","32312","","","","",""
"True","6334","Thomasville Rd.","Tallahassee","FL","32312","","","","",""
"False","6373","N Placid Place","Tallahassee","FL","32303","","","","",""
"False","6277","Ranch Rd.","Tallahassee","FL","32311","","","","",""
"False","1230","Archangel Way","Tallahassee","FL","32317","","","","",""
"True","2134","Harriet Drive","Tallahassee","FL","","","","","",""
"True","401","Dartmoor Dr.","Tallahassee","FL","32312","","","","",""
"True","3328","Nottingham Dr.","Tallahassee","FL","32312","","","","",""
"True","3900","Wood Green Way","Tallahassee","FL","32309","","","","",""
"True","2653","Tiny Leaf Rd","Tallahassee","FL","32305","","","","",""
"True","20","Myrtle Ave.","Crawfordville","FL","32327","","","","",""
"True","5979","Thornton Ln","Tallahassee","FL","32308","","","","",""
"False","","ATTN: Steve Bolton","","FL","","","","","",""
"True","3225","Tanager Trl.","Tallahassee","FL","32303","","","","",""
"True","6020","Tindell Lane","Tallahassee","FL","32311","","","","",""
"False","16856","Aqua Ln","Tallahassee","FL","32310","","","","",""
"True","3729","Wood Hill Dr.","Tallahassee","FL","32303","","","","",""
"True","2035","Canewood Ct.","Tallahassee","FL","32303","","","","",""
"True","3180","Olson Rd.","Tallahassee","FL","32308","","","","",""
"False","236","Green Meadows Dr","Monticello","FL","32344","","","","",""
"True","943","Gentian Ct.","Tallahassee","FL","32312","","","","",""
"False","903","Indian St.","Havana","FL","32333","","","","",""
"True","122","Lake Ellen Cir.","Crawfordville","FL","32327","","","","",""
"True","2525","Hickory Ridge Rd.","Tallahassee","FL","32308","","","","",""
"True","5000","Brill Point Rd","Tallahassee","FL","32312","","","","",""
"True","8300","Deerlake Road","Tallahassee","FL","32312","","","","",""
"False","351","Kiley Dr","Monticello","FL","32344","","","","",""
"True","2023","Hill N Dale","Tallahassee","FL","32317","","","","",""
"True","2079","Cynthia Dr.","Tallahassee","FL","32303","","","","",""
"True","11142","W Pony Trl.","","FL","","","","","",""
"True","2024","Shady Oaks Dr","TAllahassee","FL","32303","","","","",""
"True","2227","Ruadh Ride","Tallahassee","FL","32303","","","","",""
"True","2100","Thirlestane Rd.","Tallahassee","FL","32309","","","","",""
"True","1837","Collins Landing Rd.","Tallahassee","FL","32310","","","","",""
"True","3150","Old St. Augustine Rd.","Tallahassee","FL","32311","","","","",""
"True","7908","Christy Cary Ln","Tallahasee","FL","32304","","","","",""
"True","400","El Destinado Dr.","Tallahassee","FL","32312","","","","",""
"True","8005","Freshwater Farms Rd","Tallahassee","FL","32309","","","","",""
"False","","","","FL","","","","","",""
"True","2363","Tuscavilla Rd.","Tallahassee","FL","32312","","","","",""
"True","6584","Montrose Trail","Tallahassee","FL","32309","","","","",""
"False","808","W St Augustine St.","Tallahassee","FL","32304","","","","",""
"True","1404","Randolph Cir.","Tallahassee","FL","32308","","","","",""
"True","8851","Star Gate Way","Tallahassee","FL","32308","","","","",""
"True","277","Pond Pine St.","Tallahassee","FL","32310","","","","",""
"True","2021","Dyrehaven Dr.","Tallahassee","FL","32317","","","","",""
"False","9230","Bartlett Ln","Tallahassee","FL","32305","","","","",""
"True","4216","Kingswood Dr.","Tallahasse","FL","32303","","","","",""
"False","1946","Longview Dr.","Tallahassee","FL","32303","","","","",""
"True","4279","English Ln.","Tallahassee","FL","32301","","","","",""
"True","2716","Millstone Plantation Rd.","Tallahassee","FL","32312","","","","",""
"True","1203","Lovers Lane S.","Tallahassee","FL","32317","","","","",""
"True","24","Delores Madison Dr","Midway","FL","32343","","","","",""
"False","415","Capital Circle SW","Tallahassee","FL","32304","","","","",""
"True","473","Great Oaks Blvd.","Monticello","FL","32344","","","","",""
"True","7046","Dardwood Ln.","Tallahassee","FL","32312","","","","",""
"False","48","Marie Cir","Crawfordville","FL","32327","","","","",""
"True","9104","Ravena Rd","Tallahassee","FL","32309","","","","",""
"True","4732","Mahan Dr.","Tallahassee","FL","32308","","","","",""
"True","2905","Camelliawood Ln.","Tallahassee","FL","32301","","","","",""
"True","371","Centenary Camp Rd.","Quincy","FL","","","","","",""
"False","207","Greenway Havana","Havana","FL","32333","","","","",""
"True","6088","Tall Pine Dr.","Tallahassee","FL","32303","","","","",""
"True","7000","Alhambra Drive","Tallahassee","FL","32317","","","","",""
"True","1193","Walden Rd","Tallahassee","FL","32317","","","","",""
"False","4203","Sierra Woods Trl","Tallahassee","FL","32311","","","","",""
"True","308","Oaks Will Ct.","Tallahassee","FL","32312","","","","","MAINTENANCE"
"True","2624","Onyx Trail","Tallahassee","FL","32303","","","","",""
"True","8560","Bannerman Bluff","Tallahassee","FL","32312","","","","",""
"True","2112","Ashby Hill Road","Tallahassee","FL","32303","","","","",""
"True","4552","Cypress Point Rd.","Tallahassee","FL","32305","","","","",""
"True","7480","Serna Dr.","Tallahassee","FL","32309","","","","",""
"True","6452","Count Turf Trl","Tallahassee","FL","32309","","","","",""
"True","3049","Hickory Wind Rd.","Tallahassee","FL","32317","","","","",""
"True","3956","Bobbin Brooke Cir.","Tallahassee","FL","32312","","","","",""
"True","1725","Evening Breeze Ln.","Tallahassee","FL","32312","","","","",""
"False","","","Crawfordville","FL","32327","","","","",""
"True","7416","Hickock Ct.","Tallahassee","FL","32311","","","","",""
"True","33","Mohawk Trl","Crawfordville","FL","32327","","","","",""
"True","1578","Twin Lakes Cir.","Tallahassee","FL","32311","","","","",""
"True","2148","Little River","Tallahassee","FL","32311","","","","",""
"True","3127","Hawks Landing Dr.","Tallahassee","FL","32309","","","","",""
"True","10061","Neamathla Trl.","Tallahassee","FL","32312","","","","",""
"True","220","Victoria Ave.","Havana","FL","32333","","","","",""
"True","14227","Turkey Creek Dr.","Tallahassee","FL","32312","","","","",""
"True","9708","Alice Moore Way","Tallahassee","FL","32309","","","","",""
"True","3512","Deerlane Dr.","Tallahassee","FL","32312","","","","",""
"False","10503","Blue Wing Ct.","Tallahassee","FL","32312","","","","",""
"False","3436","Edgemont Trl","Tallahassee","FL","32312","","","","",""
"False","2440","Monaco Dr.","Tallahassee","FL","32308","","","","",""
"True","250","Washington Ave","Havana","FL","32333","","","","",""
"False","4741","Thomasville Rd.","Tallahassee","FL","32309","","","","",""
"True","3377","Lakeview Dr.","Tallahassee","FL","32310","","","","",""
"True","367","Cook ST.","Eastpoint","FL","32328","","","","",""
"True","3521","Can Grove Rd","Tallahassee","FL","32303","","","","",""
"True","7120","Ox Bow Circle","Tallahassee","FL","32312","","","","",""
"False","8837","Green Acorn Ln","Tallahassee","FL","32317","","","","",""
"True","3940","Camino Real","Tallahassee","FL","32311","","","","",""
"True","14298","KinCross Ln","Tallahassee","FL","32312","","","","",""
"False","2025","FAULK DR","Tallahassee","FL","32303","","","","",""
"True","2423","Manaco Dr.","Tallahassee","FL","32308","","","","",""
"True","2044","Cynthia Dr.","Tallahassee","FL","32303","","","","",""
"True","97","Hans Ct","Havana","FL","32333","","","","",""
"True","370","Hill Top Dr.","Midway","FL","32343","","","","",""
"True","5012","Crestwood Ct","Tallahassee","FL","32311","","","","",""
"True","9065","Old Chemonie Rd.","Tallahassee","FL","32309","","","","",""
"False","3897","Long and Winding Rd.","Tallahassee","FL","32309","","","","",""
"True","205","Craig Dr.","Tallahassee","FL","32310","","","","",""
"True","3303","Thomasville Road, Suite 201","Tallahassee","FL","32308","","","","",""
"False","4301","Kimberly Cir","Tallahassee","FL","32309","","","","",""
"True","7771","Florida-Georgia Highway","Havana","FL","32333","","","","",""
"True","9696","Alice Moore Way","Tallahassee","FL","32309","","","","",""
"True","9460","Herold Hill","Tallahassee","FL","32309","","","","",""
"True","8018","Talley Ann Dr","Tallahassee","FL","32311","","","","",""
"True","1612","Folkstone Rd.","Tallahassee","FL","32312","","","","",""
"True","8277","Tram Rd.","Tallahassee","FL","32311","","","","",""
"True","25","Prospect Place","Havana","FL","32333","","","","",""
"False","3207","Shamrock Dr. E. #27","Tallahassee","FL","32309","","","","",""
"True","16","Simmie Dr","Crawfordville","FL","32327","","","","",""
"True","6843","Donerail Trl","Tallahassee","FL","32309","","","","",""
"False","860","Rehwinkle Road","Crawfordville","FL","32327","","","","",""
"True","9831","Dulce Maria Drive","Tallahassee","FL","32317","","","","",""
"True","8989","Old Chemonie","Tallahassee","FL","32309","","","","",""
"True","5991","Thorton Ln","Tallahassee","FL","32308","","","","",""
"True","6713","Tim Tam Trl.","Tallahassee","FL","32309","","","","",""
"True","3690","Corinth Dr.","Tallahassee","FL","32308","","","","",""
"False","10580","Old Pine Acres Trail","Tallahassee","FL","32305","","","","",""
"True","","PO Box 422","Woodville","FL","32362","","","","",""
"True","1409","Paul Thompson Rd.","Monticello","FL","32344","","","","",""
"True","3200","Jefferson Rd.","Tallahassee","FL","32317","","","","",""
"True","","P. O. Box 416","Lloyd","FL","32337","","","","",""
"True","1470","Van Delia Rd.","Tallahassee","FL","32310","","","","",""
"True","2455","WW Kelley Rd.","Tallahassee","FL","32311","","","","",""
"True","11275","Turkey Roost Rd","Tallahassee","FL","32317","","","","","MAINTENANCE"
"False","226","Ben Rd.","Monticello","FL","32344","","","","",""
"True","76","Salem Ct.","Havana","FL","32333","","","","",""
"True","2065","Mistletoe Ct.","Tallahassee","FL","32317","","","","",""
"True","5351","Talaposa Rd.","Tallahassee","FL","32303","","","","",""
"True","1052","Alameda Dr.","Tallahassee","FL","32317","","","","",""
"True","2031","Hill N Dale St N","Tallahassee","FL","32317","","","","",""
"True","409","Greenlea Cir.","Crawfordville","FL","32327","","","","",""
"False","3318","Lake Shore Dr.","Tallahassee","FL","32312","","","","",""
"True","73","Oakland Dr.","Crawfordville","FL","32327","","","","",""
"False","2190","Watts Rd","Perry","FL","32347","","","","",""
"True","329","Carr Ln","Tallahassee","FL","32312","","","","",""
"True","7139","Atasacadero Ln.","Tallahassee","FL","32317","","","","",""
"True","10020","Surrey Farms Ln","Tallahassee","FL","32309","","","","",""
"True","90","Greenlea Cir","Crawfordville","FL","32327","","","","",""
"True","7570","Skipper Ln.","Tallahassee","FL","32317","","","","",""
"True","12008","Miccosukee Rd.","Tallahassee","FL","32309","","","","",""
"False","15210","Mahan Dr","Tallahassee","FL","32309","","","","",""
"True","8715","Perker Lane","Tallahassee","FL","32317","","","","",""
"False","","thousand oaks cir","Tallahassee","FL","32309","","","","",""
"True","8039","Evening Star Ln.","Tallahassee","FL","32312","","","","",""
"True","3624","Harpers Ferry Dr.","Tallahassee","FL","32308","","","","",""
"True","6512","Man O War","Tallahassee","FL","32309","","","","",""
"False","","PO Box 37338","Tallahassee","FL","32315","","","","",""
"True","1400","Metropolitan Blvd., Suite 211","Tallahassee","FL","32308","","","","",""
"False","","Tiger Hammock Rd","Tallahassee","FL","32327","","","","",""
"True","9601","Miccosukee Rd. 44","Tallahassee","FL","32309","","","","",""
"True","3609","Monmouth Ct.","Tallahassee","FL","32308","","","","",""
"True","114","Dolly Dr","Crawfordville","FL","32327","","","","",""
"False","4070","St. Teresa Ave.","Panacea","FL","32346","","","","",""
"True","15","Bob Miller Rd","Crawfordville","FL","32327","","","","",""
"True","1016","Backforest Ln.","Tallahassee","FL","32305","","","","",""
"True","3017","Pasture Wood Ln.","Tallahassee","FL","32309","","","","",""
"True","5996","Colonel Scott Dr.","Tallahassee","FL","32309","","","","",""
"True","5714","Ed White Ct.","Tallahassee","FL","32311","","","","",""
"True","527","Tradition Way","Monticello","FL","32344","","","","",""
"False","1253","Yearling Trl.","Tallahassee","FL","32317","","","","",""
"True","6515","Aqueduct Ct.","Tallahassee","FL","32309","","","","",""
"True","1990","Beaver Creek","Havana","FL","32333","","","","",""
"True","2025","Atascadero Ct","Tallahassee","FL","32317","","","","",""
"True","56","Homan Point Ave","Crawfordville","FL","32327","","","","",""
"False","24","Anderson Ave","Havana","FL","32333","","","","",""
"True","415","Crossway Rd. 32305","Havana","FL","32333","","","","",""
"False","2851","Hwy","Crawfordville","FL","32327","","","","",""
"True","120","Frances Dr.","Havana","FL","32333","","","","",""
"False","4913","Highgrove Rd","Tallahassee","FL","32309","","","","",""
"True","1210","Springhaven Rd.","Tallahassee","FL","32317","","","","",""
"False","2539","Shadey Rest Rd. 32333","Tallahassee","FL","32333","","","","",""
"True","3239","Black Gold Trl.","Tallahassee","FL","32309","","","","",""
"True","1340","Lansdowne Rd.","Tallahassee","FL","32317","","","","",""
"True","102","Beechwood Drive","Crawfordville","FL","32327","","","","",""
"True","2000","Baum Rd","Tallahassee","FL","32317","","","","",""
"True","6184","Williams Rd.","Tallahassee","FL","32311","","","","",""
"True","3428","Thresher Drive","Tallahassee","FL","32312","","","","",""
"False","1051","March Rd.","Tallahassee","FL","32311","","","","",""
"False","","Millstone Farms, Inc.","Tallahassee","FL","32312-3813","","","","",""
"False","3335","Nottingham Dr.","Tallahassee","FL","32312","","","","",""
"True","3642","Oxhill Ct.","Tallahassee","FL","32308","","","","",""
"True","6431","Forward Pass Trl.","Tallahassee","FL","32309","","","","",""
"False","14824","Mahan Dr.","Tallahassee","FL","32309","","","","",""
"True","213","Whiddon Lake Rd.","Crawfordville","FL","32327","","","","",""
"True","821","Lake Ridge Dr","Tallahassee","FL","32312","","","","",""
"True","876","Maderia Cir.","Tallahassee","FL","32312","","","","",""
"True","1520","Killearn Center Blvd","Tallahassee","FL","32309","","","","",""
"True","1726","Indian Town Ln.","Tallahassee","FL","32312","","","","",""
"True","170","Corbett Lane","Crawfordville","FL","32327","","","","",""
"True","122","Tobacco Ln.","Havana","FL","32333","","","","",""
"True","1301","Blakemore Ct.","Tallahasee","FL","32317","","","","",""
"False","4751","Stoney Trace","Tallahassee","FL","32309","","","","",""
"True","1909","Sageway Dr.","Tallahassee","FL","32303","","","","",""
"True","","P.O. Box 3607","Tallahassee","FL","32315","","","","",""
"False","2121","Crestdale Dr","Tallahassee","FL","32308","","","","",""
"True","198","Sweetwater Cir","Crawfordville","FL","32327","","","","",""
"True","6661","Man O War Trail","Tallahassee","FL","32309","","","","",""
"False","3400","Merrimac Dr.","Tallahassee","FL","32312","","","","",""
"True","3205","Brookforest Dr.","Tallahassee","FL","32312","","","","",""
"False","2008","Chatsworth Way","Tallahassee","FL","32309","","","","",""
"True","5031","Valley Farm Rd","Tallahassee","FL","32303","","","","",""
"True","6484","Hidden Lakes Dr.","Tallahasse","FL","32311","","","","",""
"True","6449","Dancers Image Trl","Tallahassee","FL","32309","","","","",""
"True","2306","Alistair Ln.","Tallahassee","FL","32312","","","","",""
"True","1661","Harbor Club Dr","Tallahassee","FL","32308","","","","",""
"True","1909","Faulk Dr.","Tallahassee","FL","32303","","","","",""
"True","12408","Macao Ct.","Herndon","FL","20171","","","","",""
"True","4360","Millwood Ln","Tallahassee","FL","32312","","","","",""
"True","28","West Bayshore Drive","St George Island","FL","32328-2732","","","","",""
"True","9152","Hidden Creek Lane","Tallahassee","FL","32311","","","","",""
"False","2090","Padlock Place","Tallahassee","FL","32303","","","","",""
"True","153","Louis John Ln","Tallahassee","FL","32312","","","","",""
"True","2501","Napoleon Bonaparte Dr.","Tallahassee","FL","32308","","","","",""
"True","223","Country Club Drive","Havana","FL","32333","","","","",""
"True","1105","Corby Ct. E.","Tallahassee","FL","32317","","","","",""
"False","3520","Thomasville Road,","Tallahassee","FL","32309","","","","",""
"True","5491","Denargo Dr.","Tallahassee","FL","32303","","","","",""
"True","3128","Swaps Trl","Tallahassee","FL","32309","","","","",""
"False","47","St Marks Rise Rd","Crawfordville","FL","32327","","","","",""
"True","5300","Trout Trl.","Tallahassee","FL","32311","","","","",""
"True","932","Brick Yard Rd.","Midway","FL","32343","","","","",""
"False","3116","Gallimore Rd.","Tallahassee","FL","32305","","","","",""
"True","7573","Old St Augustine Rd","Tallahassee","FL","32311","","","","",""
"True","151","Duncan Dr.","Crawfordville","FL","32327","","","","",""
"False","","P.O. Box 14078","Tallahassee","FL","32317","","","","",""
"True","8012","Yellow Moon Dr.","Tallahassee","FL","32312","","","","",""
"False","343","Chocktaw Trl","Havana","FL","32333","","","","",""
"False","2850","Spaulding Rd","Tallahassee","FL","32303","","","","",""
"True","4507","Argyle Ln","Tallahassee","FL","32309","","","","",""
"True","2312","Monaco Dr.","Tallahassee","FL","32308","","","","",""
"True","6645","Quail Valley Rd.","Tallahassee","FL","32309","","","","",""
"True","2108","Delta Way","Tallahassee","FL","32303","","","","",""
"True","3447","Briar Branch Trl","Tallahassee","FL","32312","","","","",""
"True","8041","Archer Cir.","Tallahassee","FL","32309","","","","",""
"True","151","Bay Pine Dr","Crawfordville","FL","32327","","","","",""
"False","4911","Fred George Rd.","Tallahassee","FL","32303","","","","",""
"True","9955","Mahan Dr.","Tallahassee","FL","32309","","","","",""
"True","1304","Lansdowne Rd","Tallahassee","FL","32317","","","","",""
"False","50","Raven Run","Havana","FL","32333","","","","",""
